name,position,record,team,year
Jimmy Conzelman,Head Coach,6-5-0,crd,1946
Phil Handler,Line Coach,6-5-0,crd,1946
Buddy Parker,Assistant Coach,6-5-0,crd,1946
Jimmy Conzelman,Head Coach,9-3-0,crd,1947
Phil Handler,Line Coach,9-3-0,crd,1947
Buddy Parker,Assistant Coach,9-3-0,crd,1947
Jimmy Conzelman,Head Coach,11-1-0,crd,1948
Phil Handler,Line Coach,11-1-0,crd,1948
Buddy Parker,Assistant Coach,11-1-0,crd,1948
Phil Handler,Head Coach,2-4-0,crd,1949
Curly Lambeau,Head Coach,5-7-0,crd,1950
Phil Handler,Line Coach,5-7-0,crd,1950
Cecil Isbell,Backfield Coach,5-7-0,crd,1950
Buster Ramsey,Defensive Assistant,5-7-0,crd,1951
Cecil Isbell,Head Coach,1-1-0,crd,1951
Joe Kuharich,Head Coach,4-8-0,crd,1952
Mike Nixon,Assistant Coach,4-8-0,crd,1952
Joe Stydahar,Head Coach,1-10-1,crd,1953
Mike Nixon,Assistant Coach,1-10-1,crd,1953
Joe Stydahar,Head Coach,2-10-0,crd,1954
Ray Richards,Line Coach,2-10-0,crd,1954
Ray Richards,Head Coach,4-7-1,crd,1955
Ray Richards,Head Coach,7-5-0,crd,1956
Chuck Drulis,Defensive Line,7-5-0,crd,1956
Wally Lemm,Defensive Assistant,7-5-0,crd,1956
Chuck Drulis,Defensive Line,7-5-0,crd,1957
Ray Richards,Head Coach,3-9-0,crd,1957
Pop Ivy,Head Coach,2-9-1,crd,1958
Chuck Drulis,Defensive Assistant,2-9-1,crd,1958
Ray Prochaska,Assistant Coach,2-9-1,crd,1958
Pop Ivy,Head Coach,2-10-0,crd,1959
Chuck Drulis,Defensive Assistant,2-10-0,crd,1959
Wally Lemm,Defensive Assistant,2-10-0,crd,1959
Ray Prochaska,Assistant Coach,2-10-0,crd,1959
Chuck Drulis,Defensive Assistant,2-10-0,crd,1960
Ray Prochaska,Offensive Line,2-10-0,crd,1960
