Tm,Start,End
crd,1946,2024
atl,1966,2024
rav,1996,2024
buf,1960,2024
car,1995,2024
chi,1946,2024
cin,1968,2024
cle,1946,2024
dal,1960,2024
den,1960,2024
det,1946,2024
gnb,2010,2024
htx,2002,2024
clt,1953,2024
jax,1995,2024
kan,1960,2024
rai,1960,2024
sdg,1960,2024
ram,1946,2024
mia,1966,2024
min,1961,2024
nwe,1960,2024
nor,1967,2024
nyg,1925,2024
nyj,1960,2024
phi,1946,2024
pit,1946,2024
sfo,1946,2024
sea,1976,2024
tam,1976,2024
oti,1960,2024
was,1946,2024
byk,1946,1948
bda,1946,1948
bba,1946,1949
cra,1946,1949
dtx,1952,1952
lda,1946,1949
msa,1946,1946
naa,1946,1949
nyy,1949,1951
